date,material,source,avg_price,min_price,max_price,spec_count,unit,source_url
2026-09-03,HDPE,cngold,10937.5,10937.5,10937.5,1,（元/吨）,https://m.cngold.org/price/jg10735808.html
2026-09-03,LDPE,cngold,11733.33,11733.33,11733.33,1,（元/吨）,https://m.cngold.org/price/jg10735807.html
2026-09-03,PET,cngold,8264.58,8264.58,8264.58,1,（元/吨）,https://m.cngold.org/price/jg10735809.html
2026-09-04,ABS,cngold,11100.0,11100.0,11100.0,1,（元/吨）,https://m.cngold.org/price/jg10738633.html
2026-09-04,HDPE,cngold,10850.0,10850.0,10850.0,1,（元/吨）,https://m.cngold.org/price/jg10738628.html
2026-09-04,LDPE,cngold,11900.0,11900.0,11900.0,1,（元/吨）,https://m.cngold.org/price/jg10738627.html
2026-09-04,PC,cngold,14766.67,14766.67,14766.67,1,（元/吨）,https://m.cngold.org/price/jg10738631.html
2026-09-04,PE,cngold,9195.0,9195.0,9195.0,1,（元/吨）,https://m.cngold.org/price/jg10738586.html
2026-09-04,PET,cngold,8258.75,8258.75,8258.75,1,（元/吨）,https://m.cngold.org/price/jg10738629.html
2026-09-04,POM,cngold,11400.0,11400.0,11400.0,1,（元/吨）,https://m.cngold.org/price/jg10738599.html
2026-09-04,PP,cngold,9572.92,9512.5,9633.33,2,（元/吨）,https://m.cngold.org/price/jg10738635.html
2026-09-04,PS,cngold,10283.33,10283.33,10283.33,1,（元/吨）,https://m.cngold.org/price/jg10738634.html
2026-09-04,PVC,cngold,4835.0,4835.0,4835.0,1,（元/吨）,https://m.cngold.org/price/jg10738636.html
2026-09-04,PP,rawmex,10269.0,9550.0,11450.0,10,元/吨,https://www.rawmex.cn/trade/s-70/
2026-09-03,PP,rawmex,10415.0,9550.0,11150.0,10,元/吨,https://www.rawmex.cn/trade/s-70/
2025-12-16,PE,rawmex,8050.0,8050.0,8050.0,1,元/吨,https://www.rawmex.cn/trade/s-576/
2025-12-09,PE,rawmex,7980.0,7980.0,7980.0,1,元/吨,https://www.rawmex.cn/trade/s-576/
2025-11-20,PE,rawmex,8165.0,8050.0,8280.0,2,元/吨,https://www.rawmex.cn/trade/s-576/
2025-10-28,PE,rawmex,8350.0,8350.0,8350.0,1,元/吨,https://www.rawmex.cn/trade/s-576/
2026-08-21,PE,rawmex,9000.0,9000.0,9000.0,1,元/吨,https://www.rawmex.cn/trade/s-576/
2026-09-04,ABS,rawmex,11100.0,11000.0,11200.0,3,元/吨,https://www.rawmex.cn/trade/s-129/
2026-09-03,ABS,rawmex,16102.94,11050.0,32300.0,17,元/吨,https://www.rawmex.cn/trade/s-129/
2026-09-04,PC,rawmex,14766.67,14750.0,14800.0,3,元/吨,https://www.rawmex.cn/trade/s-154/
2026-09-03,PC,rawmex,19055.88,14700.0,36300.0,17,元/吨,https://www.rawmex.cn/trade/s-154/
2026-09-03,POM,rawmex,14260.0,8500.0,35000.0,20,元/吨,https://www.rawmex.cn/trade/s-257/
2026-09-03,PA6,rawmex,17563.64,14200.0,18000.0,11,元/吨,https://www.rawmex.cn/trade/s-155/
2026-09-02,PA6,rawmex,16100.0,12800.0,18000.0,6,元/吨,https://www.rawmex.cn/trade/s-155/
2026-09-01,PA6,rawmex,17666.67,17500.0,18000.0,3,元/吨,https://www.rawmex.cn/trade/s-155/
2026-09-03,PA66,rawmex,31380.0,19300.0,38800.0,20,元/吨,https://www.rawmex.cn/trade/s-153/
2026-09-04,PET,rawmex,8227.0,8200.0,8300.0,10,元/吨,https://www.rawmex.cn/trade/s-143/
2026-09-03,PET,rawmex,8305.0,7900.0,8500.0,10,元/吨,https://www.rawmex.cn/trade/s-143/
2026-07-24,HDPE,rawmex,9500.0,9500.0,9500.0,1,元/吨,https://www.rawmex.cn/trade/s-158/
2026-07-23,HDPE,rawmex,9500.0,9500.0,9500.0,1,元/吨,https://www.rawmex.cn/trade/s-158/
2025-12-26,HDPE,rawmex,8775.0,8600.0,8900.0,4,元/吨,https://www.rawmex.cn/trade/s-158/
2025-12-22,HDPE,rawmex,8700.0,8600.0,8800.0,12,元/吨,https://www.rawmex.cn/trade/s-158/
2026-09-04,PVC,rawmex,4753.85,4700.0,4850.0,13,元/吨,https://www.rawmex.cn/trade/s-72/
2026-09-03,PVC,rawmex,4792.86,4750.0,4850.0,7,元/吨,https://www.rawmex.cn/trade/s-72/
2026-09-03,LDPE,rawmex,12500.0,12500.0,12500.0,5,元/吨,https://www.rawmex.cn/trade/s-157/
2026-09-02,LDPE,rawmex,11900.0,11900.0,11900.0,2,元/吨,https://www.rawmex.cn/trade/s-157/
2026-09-01,LDPE,rawmex,11700.0,11700.0,11700.0,2,元/吨,https://www.rawmex.cn/trade/s-157/
2026-08-31,LDPE,rawmex,11400.0,11400.0,11400.0,1,元/吨,https://www.rawmex.cn/trade/s-157/
2026-08-28,LDPE,rawmex,11400.0,11400.0,11400.0,1,元/吨,https://www.rawmex.cn/trade/s-157/
2026-08-27,LDPE,rawmex,11000.0,11000.0,11000.0,3,元/吨,https://www.rawmex.cn/trade/s-157/
2026-08-25,LDPE,rawmex,11000.0,11000.0,11000.0,1,元/吨,https://www.rawmex.cn/trade/s-157/
2026-08-24,LDPE,rawmex,11000.0,11000.0,11000.0,1,元/吨,https://www.rawmex.cn/trade/s-157/
2026-08-19,LDPE,rawmex,11000.0,11000.0,11000.0,4,元/吨,https://www.rawmex.cn/trade/s-157/
2026-09-07,ABS,cngold,11183.33,11183.33,11183.33,1,（元/吨）,https://m.cngold.org/price/jg10742341.html
2026-09-07,HDPE,cngold,10925.0,10925.0,10925.0,1,（元/吨）,https://m.cngold.org/price/jg10742336.html
2026-09-07,LDPE,cngold,11900.0,11900.0,11900.0,1,（元/吨）,https://m.cngold.org/price/jg10742335.html
2026-09-07,PC,cngold,14766.67,14766.67,14766.67,1,（元/吨）,https://m.cngold.org/price/jg10742339.html
2026-09-07,PE,cngold,9198.33,9198.33,9198.33,1,（元/吨）,https://m.cngold.org/price/jg10742294.html
2026-09-07,PET,cngold,8242.92,8242.92,8242.92,1,（元/吨）,https://m.cngold.org/price/jg10742337.html
2026-09-07,POM,cngold,11400.0,11400.0,11400.0,1,（元/吨）,https://m.cngold.org/price/jg10742307.html
2026-09-07,PP,cngold,9572.92,9512.5,9633.33,2,（元/吨）,https://m.cngold.org/price/jg10742343.html
2026-09-07,PS,cngold,10283.33,10283.33,10283.33,1,（元/吨）,https://m.cngold.org/price/jg10742342.html
2026-09-07,PVC,cngold,4865.0,4865.0,4865.0,1,（元/吨）,https://m.cngold.org/price/jg10742344.html
2026-09-07,PP,rawmex,10373.85,9550.0,11450.0,13,元/吨,https://www.rawmex.cn/trade/s-70/
2026-09-07,ABS,rawmex,15461.11,11100.0,32300.0,9,元/吨,https://www.rawmex.cn/trade/s-129/
2026-09-07,PC,rawmex,18420.0,14750.0,36300.0,10,元/吨,https://www.rawmex.cn/trade/s-154/
2026-09-07,POM,rawmex,23485.0,8500.0,58000.0,20,元/吨,https://www.rawmex.cn/trade/s-257/
2026-09-07,PA6,rawmex,16666.67,14200.0,18000.0,3,元/吨,https://www.rawmex.cn/trade/s-155/
2026-09-07,PA66,rawmex,30628.57,19300.0,38800.0,7,元/吨,https://www.rawmex.cn/trade/s-153/
2026-09-07,PET,rawmex,8388.33,8250.0,8500.0,18,元/吨,https://www.rawmex.cn/trade/s-143/
2026-09-07,PVC,rawmex,4853.85,4800.0,4950.0,13,元/吨,https://www.rawmex.cn/trade/s-72/
2026-09-07,LDPE,rawmex,12500.0,12500.0,12500.0,1,元/吨,https://www.rawmex.cn/trade/s-157/
2026-09-08,ABS,cngold,11166.67,11166.67,11166.67,1,（元/吨）,https://m.cngold.org/price/jg10745051.html
2026-09-08,HDPE,cngold,10900.0,10900.0,10900.0,1,（元/吨）,https://m.cngold.org/price/jg10745046.html
2026-09-08,LDPE,cngold,11900.0,11900.0,11900.0,1,（元/吨）,https://m.cngold.org/price/jg10745045.html
2026-09-08,PC,cngold,14766.67,14766.67,14766.67,1,（元/吨）,https://m.cngold.org/price/jg10745049.html
2026-09-08,PE,cngold,9255.0,9255.0,9255.0,1,（元/吨）,https://m.cngold.org/price/jg10745004.html
2026-09-08,PET,cngold,8267.08,8267.08,8267.08,1,（元/吨）,https://m.cngold.org/price/jg10745047.html
2026-09-08,POM,cngold,11500.0,11500.0,11500.0,1,（元/吨）,https://m.cngold.org/price/jg10745017.html
2026-09-08,PP,cngold,9581.25,9512.5,9650.0,2,（元/吨）,https://m.cngold.org/price/jg10745053.html
2026-09-08,PS,cngold,10700.0,10700.0,10700.0,1,（元/吨）,https://m.cngold.org/price/jg10745052.html
2026-09-08,PVC,cngold,4965.0,4965.0,4965.0,1,（元/吨）,https://m.cngold.org/price/jg10745054.html
2026-09-08,PP,rawmex,10457.5,9600.0,11600.0,16,元/吨,https://www.rawmex.cn/trade/s-70/
2026-09-08,ABS,rawmex,16340.0,11050.0,32300.0,15,元/吨,https://www.rawmex.cn/trade/s-129/
2026-09-08,PC,rawmex,18970.59,14750.0,36300.0,17,元/吨,https://www.rawmex.cn/trade/s-154/
2026-09-08,POM,rawmex,22920.0,8500.0,58000.0,20,元/吨,https://www.rawmex.cn/trade/s-257/
2026-09-08,PA6,rawmex,16700.0,14300.0,18000.0,6,元/吨,https://www.rawmex.cn/trade/s-155/
2026-09-08,PA66,rawmex,30628.57,19300.0,38800.0,14,元/吨,https://www.rawmex.cn/trade/s-153/
2026-09-08,PET,rawmex,8367.5,8250.0,8500.0,20,元/吨,https://www.rawmex.cn/trade/s-143/
2026-09-08,PVC,rawmex,4911.54,4870.0,5000.0,13,元/吨,https://www.rawmex.cn/trade/s-72/
2026-09-08,LDPE,rawmex,12400.0,12400.0,12400.0,2,元/吨,https://www.rawmex.cn/trade/s-157/
2026-09-09,ABS,cngold,11233.33,11233.33,11233.33,1,（元/吨）,https://m.cngold.org/price/jg10747772.html
2026-09-09,HDPE,cngold,10925.0,10925.0,10925.0,1,（元/吨）,https://m.cngold.org/price/jg10747767.html
2026-09-09,LDPE,cngold,11950.0,11950.0,11950.0,1,（元/吨）,https://m.cngold.org/price/jg10747766.html
2026-09-09,PC,cngold,14883.33,14883.33,14883.33,1,（元/吨）,https://m.cngold.org/price/jg10747770.html
2026-09-09,PE,cngold,9338.33,9338.33,9338.33,1,（元/吨）,https://m.cngold.org/price/jg10747724.html
2026-09-09,PET,cngold,8292.08,8292.08,8292.08,1,（元/吨）,https://m.cngold.org/price/jg10747768.html
2026-09-09,POM,cngold,11500.0,11500.0,11500.0,1,（元/吨）,https://m.cngold.org/price/jg10747737.html
2026-09-09,PP,cngold,9652.08,9587.5,9716.67,2,（元/吨）,https://m.cngold.org/price/jg10747774.html
2026-09-09,PS,cngold,10750.0,10750.0,10750.0,1,（元/吨）,https://m.cngold.org/price/jg10747773.html
2026-09-09,PVC,cngold,4947.0,4947.0,4947.0,1,（元/吨）,https://m.cngold.org/price/jg10747775.html
2026-09-09,PP,rawmex,10398.0,9700.0,11600.0,10,元/吨,https://www.rawmex.cn/trade/s-70/
2026-09-09,ABS,rawmex,11233.33,11200.0,11250.0,3,元/吨,https://www.rawmex.cn/trade/s-129/
2026-09-09,PC,rawmex,14883.33,14800.0,15000.0,3,元/吨,https://www.rawmex.cn/trade/s-154/
